
RDS00 Emulated ROM input table

$Id: mask_table.txt,v 1.2 2017/03/18 20:07:13 skeezics Exp $
$Source: /home/skeezics/perq/shared/PERQemu-source/PERQemu/PROM/RCS/mask_table.txt,v $

This is NOT the PERQ ROM, but rather a synthesized table used to
tag each word with a mask type as it flows through the source and
destination FIFOs.  The CombinerFlags (see RasterOp.cs) identifies
each word as outside the update region, as a leading or trailing
edge, or as a full update word be taken.  It is fed into makerom.pl
to produce the rds00emu.rom image.  There should be 512 entries here.

Note: "phase" is only the two low bits of the RasterOp phase (from
the CntlRasterOp register). You are not expected to understand this.

result	00 (00000) = Invalid
	01 (00001) = DontMask
	02 (00010) = LeftEdge
	04 (00100) = RightEdge
	06 (00110) = Both
	08 (01000) = FullWord
	10 (10000) = Leftover

key:	phase dir dwp wid idx	result
066	  0   1   2  1  2	RightEdge
067	  0   1   2  1  3	DontMask
068	  0   1   2  2  0	FullWord
069	  0   1   2  2  1	FullWord
06a	  0   1   2  2  2	RightEdge
06b	  0   1   2  2  3	DontMask
06c	  0   1   2  3  0	FullWord
06d	  0   1   2  3  1	FullWord
06e	  0   1   2  3  2	RightEdge
06f	  0   1   2  3  3	DontMask
070	  0   1   3  0  0	FullWord
071	  0   1   3  0  1	FullWord
072	  0   1   3  0  2	FullWord
073	  0   1   3  0  3	RightEdge
074	  0   1   3  1  0	FullWord
075	  0   1   3  1  1	FullWord
076	  0   1   3  1  2	FullWord
077	  0   1   3  1  3	RightEdge
078	  0   1   3  2  0	FullWord
079	  0   1   3  2  1	FullWord
07a	  0   1   3  2  2	FullWord
07b	  0   1   3  2  3	RightEdge
07c	  0   1   3  3  0	FullWord
07d	  0   1   3  3  1	FullWord
07e	  0   1   3  3  2	FullWord
07f	  0   1   3  3  3	RightEdge

080	  1   0   0  0  0	FullWord
081	  1   0   0  0  1	FullWord
082	  1   0   0  0  2	FullWord
083	  1   0   0  0  3	FullWord
084	  1   0   0  1  0	FullWord
085	  1   0   0  1  1	FullWord
086	  1   0   0  1  2	FullWord
087	  1   0   0  1  3	FullWord
088	  1   0   0  2  0	FullWord
089	  1   0   0  2  1	FullWord
08a	  1   0   0  2  2	FullWord
08b	  1   0   0  2  3	FullWord
08c	  1   0   0  3  0	FullWord
08d	  1   0   0  3  1	FullWord
08e	  1   0   0  3  2	FullWord
08f	  1   0   0  3  3	FullWord
090	  1   0   1  0  0	FullWord
091	  1   0   1  0  1	FullWord
092	  1   0   1  0  2	FullWord
093	  1   0   1  0  3	FullWord
094	  1   0   1  1  0	FullWord
095	  1   0   1  1  1	FullWord
096	  1   0   1  1  2	FullWord
097	  1   0   1  1  3	FullWord
098	  1   0   1  2  0	FullWord
099	  1   0   1  2  1	FullWord
09a	  1   0   1  2  2	FullWord
09b	  1   0   1  2  3	FullWord
09c	  1   0   1  3  0	FullWord
09d	  1   0   1  3  1	FullWord
09e	  1   0   1  3  2	FullWord
09f	  1   0   1  3  3	FullWord
0a0	  1   0   2  0  0	FullWord
0a1	  1   0   2  0  1	FullWord
0a2	  1   0   2  0  2	FullWord
0a3	  1   0   2  0  3	FullWord
0a4	  1   0   2  1  0	FullWord
0a5	  1   0   2  1  1	FullWord
0a6	  1   0   2  1  2	FullWord
0a7	  1   0   2  1  3	FullWord
0a8	  1   0   2  2  0	FullWord
0a9	  1   0   2  2  1	FullWord
0aa	  1   0   2  2  2	FullWord
0ab	  1   0   2  2  3	FullWord
0ac	  1   0   2  3  0	FullWord
0ad	  1   0   2  3  1	FullWord
0ae	  1   0   2  3  2	FullWord
0af	  1   0   2  3  3	FullWord
0b0	  1   0   3  0  0	FullWord
0b1	  1   0   3  0  1	FullWord
0b2	  1   0   3  0  2	FullWord
0b3	  1   0   3  0  3	FullWord
0b4	  1   0   3  1  0	FullWord
0b5	  1   0   3  1  1	FullWord
0b6	  1   0   3  1  2	FullWord
0b7	  1   0   3  1  3	FullWord
0b8	  1   0   3  2  0	FullWord
0b9	  1   0   3  2  1	FullWord
0ba	  1   0   3  2  2	FullWord
0bb	  1   0   3  2  3	FullWord
0bc	  1   0   3  3  0	FullWord
0bd	  1   0   3  3  1	FullWord
0be	  1   0   3  3  2	FullWord
0bf	  1   0   3  3  3	FullWord

0c0	  1   1   0  0  0	FullWord
0c1	  1   1   0  0  1	FullWord
0c2	  1   1   0  0  2	FullWord
0c3	  1   1   0  0  3	FullWord
0c4	  1   1   0  1  0	FullWord
0c5	  1   1   0  1  1	FullWord
0c6	  1   1   0  1  2	FullWord
0c7	  1   1   0  1  3	FullWord
0c8	  1   1   0  2  0	FullWord
0c9	  1   1   0  2  1	FullWord
0ca	  1   1   0  2  2	FullWord
0cb	  1   1   0  2  3	FullWord
0cc	  1   1   0  3  0	FullWord
0cd	  1   1   0  3  1	FullWord
0ce	  1   1   0  3  2	FullWord
0cf	  1   1   0  3  3	FullWord
0d0	  1   1   1  0  0	FullWord
0d1	  1   1   1  0  1	FullWord
0d2	  1   1   1  0  2	FullWord
0d3	  1   1   1  0  3	FullWord
0d4	  1   1   1  1  0	FullWord
0d5	  1   1   1  1  1	FullWord
0d6	  1   1   1  1  2	FullWord
0d7	  1   1   1  1  3	FullWord
0d8	  1   1   1  2  0	FullWord
0d9	  1   1   1  2  1	FullWord
0da	  1   1   1  2  2	FullWord
0db	  1   1   1  2  3	FullWord
0dc	  1   1   1  3  0	FullWord
0dd	  1   1   1  3  1	FullWord
0de	  1   1   1  3  2	FullWord
0df	  1   1   1  3  3	FullWord
0e0	  1   1   2  0  0	FullWord
0e1	  1   1   2  0  1	FullWord
0e2	  1   1   2  0  2	FullWord
0e3	  1   1   2  0  3	FullWord
0e4	  1   1   2  1  0	FullWord
0e5	  1   1   2  1  1	FullWord
0e6	  1   1   2  1  2	FullWord
0e7	  1   1   2  1  3	FullWord
0e8	  1   1   2  2  0	FullWord
0e9	  1   1   2  2  1	FullWord
0ea	  1   1   2  2  2	FullWord
0eb	  1   1   2  2  3	FullWord
0ec	  1   1   2  3  0	FullWord
0ed	  1   1   2  3  1	FullWord
0ee	  1   1   2  3  2	FullWord
0ef	  1   1   2  3  3	FullWord
0f0	  1   1   3  0  0	FullWord
0f1	  1   1   3  0  1	FullWord
0f2	  1   1   3  0  2	FullWord
0f3	  1   1   3  0  3	FullWord
0f4	  1   1   3  1  0	FullWord
0f5	  1   1   3  1  1	FullWord
0f6	  1   1   3  1  2	FullWord
0f7	  1   1   3  1  3	FullWord
0f8	  1   1   3  2  0	FullWord
0f9	  1   1   3  2  1	FullWord
0fa	  1   1   3  2  2	FullWord
0fb	  1   1   3  2  3	FullWord
0fc	  1   1   3  3  0	FullWord
0fd	  1   1   3  3  1	FullWord
0fe	  1   1   3  3  2	FullWord
0ff	  1   1   3  3  3	FullWord

100	  2   0   0  0  0	RightEdge
101	  2   0   0  0  1	Leftover
102	  2   0   0  0  2	Leftover
103	  2   0   0  0  3	Leftover
104	  2   0   0  1  0	FullWord
105	  2   0   0  1  1	RightEdge
106	  2   0   0  1  2	Leftover
107	  2   0   0  1  3	Leftover
108	  2   0   0  2  0	FullWord
109	  2   0   0  2  1	FullWord
10a	  2   0   0  2  2	RightEdge
10b	  2   0   0  2  3	Leftover
10c	  2   0   0  3  0	FullWord
10d	  2   0   0  3  1	FullWord
10e	  2   0   0  3  2	FullWord
10f	  2   0   0  3  3	RightEdge
110	  2   0   1  0  0	RightEdge
111	  2   0   1  0  1	Leftover
112	  2   0   1  0  2	Leftover
113	  2   0   1  0  3	Leftover
114	  2   0   1  1  0	FullWord
115	  2   0   1  1  1	RightEdge
116	  2   0   1  1  2	Leftover
117	  2   0   1  1  3	Leftover
118	  2   0   1  2  0	FullWord
119	  2   0   1  2  1	FullWord
11a	  2   0   1  2  2	RightEdge
11b	  2   0   1  2  3	Leftover
11c	  2   0   1  3  0	FullWord
11d	  2   0   1  3  1	FullWord
11e	  2   0   1  3  2	FullWord
11f	  2   0   1  3  3	RightEdge
120	  2   0   2  0  0	RightEdge
121	  2   0   2  0  1	Leftover
122	  2   0   2  0  2	Leftover
123	  2   0   2  0  3	Leftover
124	  2   0   2  1  0	FullWord
125	  2   0   2  1  1	RightEdge
126	  2   0   2  1  2	Leftover
127	  2   0   2  1  3	Leftover
128	  2   0   2  2  0	FullWord
129	  2   0   2  2  1	FullWord
12a	  2   0   2  2  2	RightEdge
12b	  2   0   2  2  3	Leftover
12c	  2   0   2  3  0	FullWord
12d	  2   0   2  3  1	FullWord
12e	  2   0   2  3  2	FullWord
12f	  2   0   2  3  3	RightEdge
130	  2   0   3  0  0	RightEdge
131	  2   0   3  0  1	Leftover
132	  2   0   3  0  2	Leftover
133	  2   0   3  0  3	Leftover
134	  2   0   3  1  0	FullWord
135	  2   0   3  1  1	RightEdge
136	  2   0   3  1  2	Leftover
137	  2   0   3  1  3	Leftover
138	  2   0   3  2  0	FullWord
139	  2   0   3  2  1	FullWord
13a	  2   0   3  2  2	RightEdge
13b	  2   0   3  2  3	Leftover
13c	  2   0   3  3  0	FullWord
13d	  2   0   3  3  1	FullWord
13e	  2   0   3  3  2	FullWord
13f	  2   0   3  3  3	RightEdge

140	  2   1   0  0  0	LeftEdge
141	  2   1   0  0  1	FullWord
142	  2   1   0  0  2	FullWord
143	  2   1   0  0  3	FullWord
144	  2   1   0  1  0	Leftover
145	  2   1   0  1  1	LeftEdge
146	  2   1   0  1  2	FullWord
147	  2   1   0  1  3	FullWord
148	  2   1   0  2  0	Leftover
149	  2   1   0  2  1	Leftover
14a	  2   1   0  2  2	LeftEdge
14b	  2   1   0  2  3	FullWord
14c	  2   1   0  3  0	Leftover
14d	  2   1   0  3  1	Leftover
14e	  2   1   0  3  2	Leftover
14f	  2   1   0  3  3	LeftEdge
150	  2   1   1  0  0	LeftEdge
151	  2   1   1  0  1	FullWord
152	  2   1   1  0  2	FullWord
153	  2   1   1  0  3	FullWord
154	  2   1   1  1  0	Leftover
155	  2   1   1  1  1	LeftEdge
156	  2   1   1  1  2	FullWord
157	  2   1   1  1  3	FullWord
158	  2   1   1  2  0	Leftover
159	  2   1   1  2  1	Leftover
15a	  2   1   1  2  2	LeftEdge
15b	  2   1   1  2  3	FullWord
15c	  2   1   1  3  0	Leftover
15d	  2   1   1  3  1	Leftover
15e	  2   1   1  3  2	Leftover
15f	  2   1   1  3  3	LeftEdge
160	  2   1   2  0  0	LeftEdge
161	  2   1   2  0  1	FullWord
162	  2   1   2  0  2	FullWord
163	  2   1   2  0  3	FullWord
164	  2   1   2  1  0	Leftover
165	  2   1   2  1  1	LeftEdge
166	  2   1   2  1  2	FullWord
167	  2   1   2  1  3	FullWord
168	  2   1   2  2  0	Leftover
169	  2   1   2  2  1	Leftover
16a	  2   1   2  2  2	LeftEdge
16b	  2   1   2  2  3	FullWord
16c	  2   1   2  3  0	Leftover
16d	  2   1   2  3  1	Leftover
16e	  2   1   2  3  2	Leftover
16f	  2   1   2  3  3	LeftEdge
170	  2   1   3  0  0	LeftEdge
171	  2   1   3  0  1	FullWord
172	  2   1   3  0  2	FullWord
173	  2   1   3  0  3	FullWord
174	  2   1   3  1  0	Leftover
175	  2   1   3  1  1	LeftEdge
176	  2   1   3  1  2	FullWord
177	  2   1   3  1  3	FullWord
178	  2   1   3  2  0	Leftover
179	  2   1   3  2  1	Leftover
17a	  2   1   3  2  2	LeftEdge
17b	  2   1   3  2  3	FullWord
17c	  2   1   3  3  0	Leftover
17d	  2   1   3  3  1	Leftover
17e	  2   1   3  3  2	Leftover
17f	  2   1   3  3  3	LeftEdge

180	  3   0   0  0  0	Both
181	  3   0   0  0  1	Leftover
182	  3   0   0  0  2	Leftover
183	  3   0   0  0  3	Leftover
184	  3   0   0  1  0	LeftEdge
185	  3   0   0  1  1	RightEdge
186	  3   0   0  1  2	Leftover
187	  3   0   0  1  3	Leftover
188	  3   0   0  2  0	LeftEdge
189	  3   0   0  2  1	FullWord
18a	  3   0   0  2  2	RightEdge
18b	  3   0   0  2  3	Leftover
18c	  3   0   0  3  0	LeftEdge
18d	  3   0   0  3  1	FullWord
18e	  3   0   0  3  2	FullWord
18f	  3   0   0  3  3	RightEdge
190	  3   0   1  0  0	RightEdge
191	  3   0   1  0  1	LeftEdge
192	  3   0   1  0  2	Leftover
193	  3   0   1  0  3	Leftover
194	  3   0   1  1  0	DontMask
195	  3   0   1  1  1	Both
196	  3   0   1  1  2	Leftover
197	  3   0   1  1  3	Leftover
198	  3   0   1  2  0	DontMask
199	  3   0   1  2  1	LeftEdge
19a	  3   0   1  2  2	RightEdge
19b	  3   0   1  2  3	Leftover
19c	  3   0   1  3  0	DontMask
19d	  3   0   1  3  1	LeftEdge
19e	  3   0   1  3  2	FullWord
19f	  3   0   1  3  3	RightEdge
1a0	  3   0   2  0  0	RightEdge
1a1	  3   0   2  0  1	FullWord
1a2	  3   0   2  0  2	LeftEdge
1a3	  3   0   2  0  3	Leftover
1a4	  3   0   2  1  0	DontMask
1a5	  3   0   2  1  1	RightEdge
1a6	  3   0   2  1  2	LeftEdge
1a7	  3   0   2  1  3	Leftover
1a8	  3   0   2  2  0	DontMask
1a9	  3   0   2  2  1	DontMask
1aa	  3   0   2  2  2	Both
1ab	  3   0   2  2  3	Leftover
1ac	  3   0   2  3  0	DontMask
1ad	  3   0   2  3  1	DontMask
1ae	  3   0   2  3  2	LeftEdge
1af	  3   0   2  3  3	RightEdge
1b0	  3   0   3  0  0	RightEdge
1b1	  3   0   3  0  1	FullWord
1b2	  3   0   3  0  2	FullWord
1b3	  3   0   3  0  3	LeftEdge
1b4	  3   0   3  1  0	DontMask
1b5	  3   0   3  1  1	RightEdge
1b6	  3   0   3  1  2	FullWord
1b7	  3   0   3  1  3	LeftEdge
1b8	  3   0   3  2  0	DontMask
1b9	  3   0   3  2  1	DontMask
1ba	  3   0   3  2  2	RightEdge
1bb	  3   0   3  2  3	LeftEdge
1bc	  3   0   3  3  0	DontMask
1bd	  3   0   3  3  1	DontMask
1be	  3   0   3  3  2	DontMask
1bf	  3   0   3  3  3	Both

1c0	  3   1   0  0  0	Both
1c1	  3   1   0  0  1	DontMask
1c2	  3   1   0  0  2	DontMask
1c3	  3   1   0  0  3	DontMask
1c4	  3   1   0  1  0	LeftEdge
1c5	  3   1   0  1  1	RightEdge
1c6	  3   1   0  1  2	DontMask
1c7	  3   1   0  1  3	DontMask
1c8	  3   1   0  2  0	LeftEdge
1c9	  3   1   0  2  1	FullWord
1ca	  3   1   0  2  2	RightEdge
1cb	  3   1   0  2  3	DontMask
1cc	  3   1   0  3  0	LeftEdge
1cd	  3   1   0  3  1	FullWord
1ce	  3   1   0  3  2	FullWord
1cf	  3   1   0  3  3	RightEdge
1d0	  3   1   1  0  0	LeftEdge
1d1	  3   1   1  0  1	RightEdge
1d2	  3   1   1  0  2	DontMask
1d3	  3   1   1  0  3	DontMask
1d4	  3   1   1  1  0	Leftover
1d5	  3   1   1  1  1	Both
1d6	  3   1   1  1  2	DontMask
1d7	  3   1   1  1  3	DontMask
1d8	  3   1   1  2  0	DontMask
1d9	  3   1   1  2  1	RightEdge
1da	  3   1   1  2  2	LeftEdge
1db	  3   1   1  2  3	Leftover
1dc	  3   1   1  3  0	Leftover
1dd	  3   1   1  3  1	RightEdge
1de	  3   1   1  3  2	FullWord
1df	  3   1   1  3  3	LeftEdge
1e0	  3   1   2  0  0	LeftEdge
1e1	  3   1   2  0  1	FullWord
1e2	  3   1   2  0  2	RightEdge
1e3	  3   1   2  0  3	DontMask
1e4	  3   1   2  1  0	Leftover
1e5	  3   1   2  1  1	LeftEdge
1e6	  3   1   2  1  2	RightEdge
1e7	  3   1   2  1  3	DontMask
1e8	  3   1   2  2  0	Leftover
1e9	  3   1   2  2  1	Leftover
1ea	  3   1   2  2  2	Both
1eb	  3   1   2  2  3	DontMask
1ec	  3   1   2  3  0	Leftover
1ed	  3   1   2  3  1	Leftover
1ee	  3   1   2  3  2	RightEdge
1ef	  3   1   2  3  3	LeftEdge
1f0	  3   1   3  0  0	LeftEdge
1f1	  3   1   3  0  1	FullWord
1f2	  3   1   3  0  2	FullWord
1f3	  3   1   3  0  3	RightEdge
1f4	  3   1   3  1  0	Leftover
1f5	  3   1   3  1  1	LeftEdge
1f6	  3   1   3  1  2	FullWord
1f7	  3   1   3  1  3	RightEdge
1f8	  3   1   3  2  0	Leftover
1f9	  3   1   3  2  1	Leftover
1fa	  3   1   3  2  2	LeftEdge
1fb	  3   1   3  2  3	RightEdge
1fc	  3   1   3  3  0	Leftover
1fd	  3   1   3  3  1	Leftover
1fe	  3   1   3  3  2	Leftover
1ff	  3   1   3  3  3	Both
